total,child,id,pais
TRADE SUMMARY,"The U.S. goods trade surplus with Argentina was $1.8 billion in 2020, a 44.6 percent decrease ($1.4 billion) over 2019. U.S. goods exports to Argentina were $6.0 billion, down 27.0 percent ($2.2 billion) from the previous year. Corresponding U.S. imports from Argentina were $4.2 billion, down 15.4 percent. Argentina was the United States’ 34th largest goods export market in 2020. U.S. exports of services to Argentina were an estimated $7.6 billion in 2019 and U.S. imports were $2.6 billion. Sales of services in Argentina by majority U.S.-owned affiliates were $9.6 billion in 2018 (latest data available), while sales of services in the United States by majority Argentina-owned firms were $101 million. U.S. foreign direct investment in Argentina (stock) was $10.7 billion in 2019, a 12.4 percent increase from 2018. U.S. direct investment in Argentina is led by manufacturing, information services, and finance and insurance.",4,ARGENTINA
TRADE AGREEMENTS,The United States–Argentina Trade and Investment Framework Agreement,4,ARGENTINA
The United States–Argentina Trade and Investment Framework Agreement,"The United States and Argentina signed a Trade and Investment Framework Agreement (TIFA) on March 23, 2016. This Agreement is the primary mechanism for discussions of trade and investment issues between the United States and Argentina.",4,ARGENTINA
IMPORT POLICIES,Tariffs and Taxes,4,ARGENTINA
Tariffs and Taxes,Tariffs,4,ARGENTINA
Non-Tariff Barriers,Import Bans,4,ARGENTINA
SANITARY AND PHYTOSANITARY BARRIERS,Poultry,4,ARGENTINA
Poultry,"Argentina does not allow imports of fresh, frozen, and chilled poultry from the United States due to purported concerns over Highly Pathogenic Avian Influenza (HPAI) and virulent Newcastle Disease, and because Argentina does not recognize the U.S. sanitary inspection system as equivalent to the Argentine system. Over the past several years, the United States has provided Argentina with status updates on the status of HPAI in the United States and on the success of the U.S. Government’s mitigation and eradication programs. In addition, the United States requested that Argentina regionalize its restrictions related to HPAI in the event of future outbreaks, as recommended by the World Organization for Animal Health. The United States continues to engage with Argentina to resolve the market access issues for poultry.",4,ARGENTINA
Horticultural Products,"Argentina ceased issuing permits for imports of a variety of U.S. horticultural exports in 2012, without explanation or justification. Since then, through meetings with the United States, Argentina has agreed to reestablish access for exports of U.S. cherries and stone fruits. However, Argentina has yet to restore market access for U.S. apples, pears, grapes, and berries. The United States is engaging with Argentina to establish science-based conditions that allow for the resumption of trade.",4,ARGENTINA
SUBSIDIES,Local Content Subsidies,4,ARGENTINA
Local Content Subsidies,"Argentina maintains certain local-sourcing support measures aimed at encouraging domestic production. Resolutions 123 and 313, issued in July 2016, allow companies to obtain tax benefits on purchases of solar or wind energy equipment for use in investment projects that incorporate at least 60 percent local content in their electromechanical installations. If local supply is insufficient to reach the 60 percent threshold, the threshold can be reduced to 30 percent. The updated list of tax-exempt goods under the renewable energy regime and the technical criteria used to calculate the local content is detailed in Annex I of Joint Resolution E-1/2017.",4,ARGENTINA
GOVERNMENT PROCUREMENT,Argentine law establishes a national preference for local industry for most government procurement if the domestic supplier’s tender is no more than five percent to seven percent higher than the foreign tender. The 30 | FOREIGN TRADE BARRIERS,4,ARGENTINA
INTELLECTUAL PROPERTY PROTECTION,"Argentina remained on the Priority Watch List in the Special 301 Report. The situation for innovators in the pharmaceutical and agrochemical sectors presents significant challenges. First, the scope of patentable subject matter remains significantly restricted under Argentine law. Second, there is inadequate protection against unfair commercial use and unauthorized disclosure of undisclosed test and other data submitted to the Argentine Government in conjunction with its lengthy marketing approval process. In addition, the United States encourages Argentina to provide transparency and procedural fairness to all interested parties in connection with potential recognition or protection of geographical indications, including in connection with trade agreement negotiations. Finally, the patent pendency backlog continues to result in unreasonable delays. In addition, the absence of sustained enforcement efforts – including under criminal laws – sufficient to have a deterrent effect, coupled with judicial inefficiency and outdated intellectual property (IP) laws, diminishes the competitiveness of U.S. IP-intensive industries in Argentina. For example, “La Salada,” continues to be one of South America’s largest black markets for counterfeit and pirated goods. The existing legislative regime and weak enforcement hinder the ability of rights holders, law enforcement, and prosecutors to halt, through legal action, the growth of illegal online markets. The United States will continue to monitor these issues and engage Argentina on IP matters at large.",4,ARGENTINA
SERVICES BARRIERS,Audiovisual Services,4,ARGENTINA
Audiovisual Services,"Argentina imposes restrictions on the showing, printing, and dubbing of foreign films in Argentina. Argentina also charges customs duties on U.S. film exports based on the estimated value of the",4,ARGENTINA
Express Delivery,"As of August 26, 2016, pursuant to Resolutions 3915 and 3916, Argentina allows the importation of goods via mail or through an express delivery service provider. As of April 1, 2019, door-to-door non-commercial mail shipments with a value of $3,000 or less and a weight not greater than 20 kilograms may be delivered. Pursuant to Decree 221/2019, consumers are subject to annual limits on the tax-free allowance on purchases. Consumers can purchase goods valued at up to $50 per month tax free, with an annual tax-free limit of $600, compared to the previous regime that applied a 50 percent tax on all but the first order up to $25. If the monthly purchase total exceeds $50, the consumer must pay a 50 percent tax on the value above the $50 threshold. Non-commercial courier shipments with a value of $1,000 or less and a weight not greater than 50 kilograms are exempt from import licensing and other import requirements, subject to certain conditions, including an annual limit of five shipments per person. Due to significant import-related delays and lack of transparency, such as non-automatic import licenses, the express and postal channels are essential for electronic commerce. These limitations on express couriers in effect constrain electronic commerce in Argentina across sectors. Argentina does not have a centralized platform for, and does not allow the use of, electronically produced air waybills, which would accelerate customs processing and the growth of electronic commerce transactions.",4,ARGENTINA
Insurance Services,"The Argentine insurance regulator (SSN) imposes restrictions on reinsurance supplied by foreign companies. Resolution 40422-E/2017 allows local insurance companies to place only up to 75 percent of the ceded premium with foreign reinsurance companies. The SSN requires that all investments and cash equivalents held by locally registered insurance companies be located in Argentina. In May 2019, the SSN issued Resolution 515, establishing that each insurance company must invest a minimum of 5 percent (to a maximum of 20 percent) of its portfolio for financing of small- and medium-sized enterprises.",4,ARGENTINA
Telecommunications Services,"As part of a set of measures adopted in 2020 intended to address economic issues created by the COVID- 19 pandemic, the Argentine Government issued Decree 311/2020, which froze prices and prohibited the suspension of delinquent accounts for a number of information communication technology (ICT) services, including fixed and mobile telephone services, Internet access services, and pay television services, until August 31, 2020. On August 21, 2020, the Argentine Government issued Decree 690/2020, which extended the freeze on the prices for these ICT services until December 31, 2021 and amended the Information and Communications Technologies Law to change the regulatory status of these ICT services to “essential and strategic public services” and therefore subject to additional regulation by the National Communications Agency (ENACOM), including full rate regulation and additional universal service obligations. On September 20, 2020, the Argentine Government issued Decree 756/2020, which extended the prohibition on suspension of delinquent accounts through December 31, 2020. U.S stakeholders are concerned that 32 | FOREIGN TRADE BARRIERS",4,ARGENTINA
INVESTMENT BARRIERS,Foreign Exchange and Capital Controls,4,ARGENTINA
Foreign Exchange and Capital Controls,"Since 2019, the Argentine Government and the Central Bank have issued a series of decrees and norms regulating access to foreign exchange markets in order to mitigate the financial crisis. As of September 15, 2020, pursuant to Communication A71067/2020, Argentine nationals and residents can make purchases in foreign currency equal to no more than $200 per month. Purchases abroad with credit and debit cards count against the $200 monthly quota. Although no limit on credit or debit card purchases is imposed, if monthly expenses surpass the $200 quota the deduction, corresponding to the amount of excess spending, will be carried over to subsequent months until the total amount is covered. Also, the regulation prohibits individuals from receiving government assistance and high-ranking government officials from purchasing foreign currency. Individuals must receive Central Bank approval to purchase foreign currency in excess of the $200 quota. Pursuant to Public Emergency Law 27,541, issued December 23, 2019, all purchases denominated in foreign currency and individual expenses incurred abroad, in person or online, including international online purchases from Argentina, paid with credit or debit cards issued by Argentine banks, are subject to a 30 percent tax. AFIP Resolution 4815 imposes an additional 35 percent withholding tax that may be deducted from an individual’s income or wealth tax obligation. Non-Argentine residents are required to obtain prior Central Bank approval to purchase in foreign currency in excess of $100 per month, except for certain bilateral or international organizations, institutions and agencies, diplomatic representation, and foreign tribunals. As of October 2019, Communication A6815 limits cash withdrawals made abroad with local debit cards to only foreign currency bank accounts owned by the client in Argentina. Pursuant to Communication A6823, cash advances made abroad from local credit cards are limited to a maximum of $50 per transaction. Companies and individuals will need to obtain prior clearance from the Central Bank before transferring funds abroad, including dividend payments or other distributions abroad, or to pay for services rendered to a company by foreign affiliates. If transfers are made from their own foreign currency accounts in Argentina to their own accounts abroad, individuals do not need to obtain Central Bank approval. Through Communication A6869 issued by the Central Bank in January 2020, companies will be able to repatriate dividends without Central Bank authorization equivalent to a maximum of 30 percent of new foreign direct investment (FDI) made by the company in the country. To promote FDI, the Central Bank announced in Communication A7123 in October 2020 that it will allow free access to the official foreign exchange market to repatriate investments, provided that the capital contribution was transferred and sold in Argentine pesos FOREIGN TRADE BARRIERS | 33 through the foreign exchange market as of October 2, 2020 and that the repatriation takes place at least two years after the transfer and settlement of those funds. Exporters of goods are required to transfer to Argentina and settle in pesos in the foreign currency market the proceeds from exports made as of September 2, 2019. Exporters must settle according to the following terms: exporters with affiliates (irrespective of the type of good exported) and exporters of certain goods (including certain cereals, seeds, minerals, and precious metals) must convert their foreign currency proceeds to pesos within 15 days (or 30 days for some products) after the issuance of the permit for shipment; other exporters have 180 days to settle in pesos. Irrespective of these deadlines, exporters must comply with the obligation to transfer the funds to Argentina and settle in pesos within five days from the actual collection. Pursuant to Decree 661 issued in September 2019, all export tax refunds are subject to liquidation in the local foreign exchange market. This measure complements Decree 609/2019 that requires all proceeds from exports to be settled in Argentine pesos. Payments for imports of goods and services from third parties and from affiliates require Central Bank approval if the company needs to purchase foreign currency. Pursuant to Communication A7030 from May 2020, the Central Bank requires that importers submit an affidavit stating that the total amount of foreign currency requested (including the current payment request) does not exceed the amount of the payments for purchases by that importer and cleared by customs between January 1, 2020, and the day prior to accessing the foreign exchange market. The total amount of payments for import of goods should also include the payments for amortizations of lines of credit or commercial guarantees. Argentine residents are required to transfer to Argentina and settle in pesos the proceeds from services exports rendered to non-Argentine residents that are paid in foreign currency, either in Argentina or abroad, within five business days from collection thereof. In September 2020, the Central Bank issued Circular A7106, limiting companies’ ability to purchase foreign currency to repay any external financial debt (including intercompany debt) and dollar-denominated local securities. Companies will have access to no more than 40 percent of the principal amount coming due from October 15, 2020 to March 1, 2021, and for the remaining 60 percent of the debt, the company must file a refinancing plan with the Central Bank. Debt from international organizations or their associated agencies or guaranteed by them and debt to official credit agencies or guaranteed by them are exempt from this restriction. In addition, the Central Bank, through Communication A701, prohibited access to the foreign exchange market to pay for external debt, imports, and for saving purposes for individuals and companies that have sold foreign currency denominated securities within the previous 90 days. On October 16, 2020, the Central Bank issued Communication A7138 establishing that importers requesting access to the foreign market in excess of $50,000 must receive prior approval from the Central Bank. On October 30, 2020, through Communication A7151, the Central Bank also obligated commercial banks to require importers to submit a sworn declaration of their import request so the request may be cross- referenced to the Central Bank database of importers, to ensure compliance with the foreign exchange controls. These measures have increased delays for import operations.",4,ARGENTINA
Local Content Requirements,"Argentina establishes percentages of local content in the production process for manufacturers of mobile and cellular radio communication equipment operating in Tierra del Fuego province. Resolution 66, issued July 12, 2018, replaces Resolution 1219/2015 and maintains the local content requirement for products such as technical manuals, packaging, and labelling. Resolution 66 eliminated the local content requirement 34 | FOREIGN TRADE BARRIERS",4,ARGENTINA
OTHER BARRIERS,Export Policies,4,ARGENTINA
Export Policies,"Argentina maintains export taxes on most exports of goods and services. As of December 14, 2019, when Decree 37/2019 came into effect, the Argentine Government set the export tax rate on goods at 12 percent, with several exceptions. Products listed in Annex II of Decree 37 are subject to a 9 percent export tax. Products that were listed in Annex II of Decree 793, issued September 4, 2018, but that were not also included in Annex II of Decree 37/2019, are required to pay an export tax of three Argentine pesos per dollar exported. On December 23, 2019, when Public Emergency Law 27,541 came into effect, Argentina established export tax ceilings on exports of certain agricultural commodities, industrial products, oil, gas, minerals, and services. In the case of exports of services, the maximum tax that applies is 5 percent. Micro and small enterprises exporting less than $600,000 in services per year are exempted from the tax, and those exporting more than $600,000 are required to pay the export tax on exports above the $600,000 threshold. Goods produced in and exported from the Special Customs Area (SCA) located in Tierra del Fuego province are exempt from export taxes. Argentina maintains additional percentage-based export taxes on a range of products. Annex I of Decree 1126/2017 and its modifications detail the full list of additional export duties applied in Argentina. Soybeans, soy meal, and soy oil are taxed at 18 percent; leathers at 5 and 10 percent; cork at 10 and 5 percent; paper and cardboard waste for recycling at 20 percent; and alloy steel waste at 5 percent. On May 28, 2018, the Argentine Government issued Decree 486, increasing the export tax on biodiesel from 8 percent to 15 percent as of July 1, 2018. On October 4, 2020, the Argentine Government issued Decrees 789/2020 and 790/2020 reducing export taxes on soybean products for three months to encourage exports. Export taxes on soybeans were lowered from 33 percent to 30 percent during October, to 31.5 percent during November, and 32 percent during December, returning to 33 percent in January 2021. Processed soybean products (including soymeal and soybean oil) were taxed at 28 percent instead of 33 percent during October, 29.5 percent during November, and 30 percent during December, and were set for 33 percent as of January 2021. This differential provides an incentive to export processed soybean oil and soymeal instead of whole soybeans. The MERCOSUR CCC, if entered into effect, would restrict future export taxes and transition to a common export tax policy.",4,ARGENTINA
Export Ban,"On July 2, 2016, pursuant to Decree 823/2016, Argentina implemented a 360-day ban on all exports of scrap of iron, steel, copper, and aluminum. The Argentine Government consistently extended the ban in subsequent years, although a current extension is still pending.",4,ARGENTINA
Export Registrations and Permits,"Since December 29, 2015, Argentina has required exporters of certain grains, pulses, cotton, oilseeds, and their derivatives to obtain Affidavits of Foreign Sales (DJVE) and register the exportation with the Office of Coordination and Evaluation of Subsidies to Domestic Consumption. On October 3, 2019, the Ministry of Agriculture, Livestock, and Fisheries released resolution 78/2019 that updated regulations for DJVE and FOREIGN TRADE BARRIERS | 35 reduced the term of validity for short-term DJVE from 45 to 30 days. Exporters are now required to pay 90 percent of the export tax within five days of registration. For short-term DJVE, exporters must pay the full export tax immediately upon approval of the DJVE registration, based on the official Free On Board value on the date of the sale.",4,ARGENTINA
Supply Law,"In September 2014, Argentina amended the 1974 National Supply Law to expand the ability of the government to regulate private enterprises by setting minimum and maximum prices and profit margins for goods and services at any stage of economic activity. Private companies may be subject to fines and temporary closure if the Argentine Government determines they are not complying with the law. Although the law is still in effect, the U.S. Government has not received any reports of it being applied since December 2015.",4,ARGENTINA
Pension System,"In 2008, the Argentine Congress approved a bill to nationalize Argentina’s private pension system and transfer pension assets to the government social security agency. Compensation to investors in the privatized pension system, including to U.S. investors, is still pending and subject to ongoing international arbitration. 36 | FOREIGN TRADE BARRIERS",4,ARGENTINA
TRADE SUMMARY,"The U.S. goods trade surplus with Australia was $9.1 billion in 2020, a 40.2 percent decrease ($6.1 billion) over 2019. U.S. goods exports to Australia were $23.5 billion, down 9.6 percent ($2.5 billion) from the previous year. Corresponding U.S. imports from Australia were $14.4 billion, up 33.1 percent. Australia was the United States’ 16th largest goods export market in 2020. U.S. exports of services to Australia were an estimated $22.0 billion in 2019 and U.S. imports were $8.6 billion. Sales of services in Australia by majority U.S.-owned affiliates were $54.7 billion in 2018 (latest data available), while sales of services in the United States by majority Australia-owned firms were $15.4 billion. U.S. foreign direct investment in Australia (stock) was $162.4 billion in 2019, a 1.0 percent decrease from 2018. U.S. direct investment in Australia is led by nonbank holding companies, mining, and manufacturing.",5,AUSTRALIA
TRADE AGREEMENTS,The United States–Australia Free Trade Agreement,5,AUSTRALIA
The United States–Australia Free Trade Agreement,"The United States–Australia Free Trade Agreement (FTA) entered into force on January 1, 2005. Under this agreement, as of January 1, 2015, Australia provides duty-free access to all U.S. exports. The United States and Australia meet regularly to review the implementation and functioning of the Agreement and to address outstanding issues.",5,AUSTRALIA
IMPORT POLICIES,Taxes,5,AUSTRALIA
Taxes,Low Value Goods Taxes,5,AUSTRALIA
SANITARY AND PHYTOSANITARY BARRIERS,Animal Health,5,AUSTRALIA
Animal Health,Beef and Beef Products,5,AUSTRALIA
Plant Health,Apples and Pears,5,AUSTRALIA
